session_id,session_start,session_end,visit_count,browser,upload_count,gsea_count,volcano_count
VividVolcano-20250227153635-3abcf62a,2025-02-27 14:36:37.320628+00,2025-02-27 14:37:54.6003+00,3,Chrome,1,2,3
VividVolcano-20250228110532-c6188bd2,2025-02-28 11:05:33+00,2025-02-28 11:06:57+00,1,Chrome,1,2,3
VividVolcano-20250228110845-b0616bd0,2025-02-28 11:08:45+00,2025-02-28 11:09:27+00,2,Chrome,0,0,0
VividVolcano-20250228110856-d691c833,2025-02-28 11:08:56+00,2025-02-28 11:09:18+00,1,Firefox,1,0,0
VividVolcano-20250228110918-0c6295b3,2025-02-28 11:09:19+00,2025-02-28 11:09:25+00,2,Firefox,0,0,0
VividVolcano-20250228110933-dc5ea9d5,2025-02-28 11:09:33+00,2025-02-28 11:09:59+00,3,Chrome,0,0,0
VividVolcano-20250228110935-50a61d66,2025-02-28 11:09:35+00,2025-02-28 11:09:57+00,3,Firefox,1,0,0
VividVolcano-20250228111511-2eebf044,2025-02-28 11:15:12+00,2025-02-28 11:15:16+00,4,Chrome,0,0,0
VividVolcano-20250228133607-8d68bf6a,2025-02-28 13:36:08+00,2025-02-28 13:37:19+00,10,Firefox,1,3,1
VividVolcano-20250228133611-e23c098d,2025-02-28 13:36:12+00,2025-02-28 13:36:31+00,1,Chrome,0,0,0
VividVolcano-20250228152306-db56add4,2025-02-28 15:23:07+00,2025-02-28 15:23:51+00,1,Chrome,0,0,0
VividVolcano-20250228152826-31dc2f2d,2025-02-28 15:28:26+00,2025-02-28 15:28:29+00,2,Chrome,0,0,0
VividVolcano-20250228153220-2a32f61d,2025-02-28 15:32:21+00,2025-02-28 15:32:26+00,1,Chrome,0,0,0
VividVolcano-20250228154355-29f45de2,2025-02-28 14:43:59.212912+00,2025-02-28 14:44:33.936675+00,3,Chrome,0,0,0
VividVolcano-20250228154521-359c9eb1,2025-02-28 14:45:24.200795+00,2025-02-28 14:45:29.462796+00,4,Chrome,0,0,0
VividVolcano-20250228155337-590d0ccf,2025-02-28 14:53:39.982235+00,2025-02-28 14:56:36.406289+00,5,Chrome,0,0,0
VividVolcano-20250228155654-aae8b7fc,2025-02-28 14:56:56.643629+00,2025-02-28 14:57:36.346359+00,6,Chrome,0,0,0
VividVolcano-20250228160856-14856c9f,2025-02-28 16:08:57+00,2025-02-28 16:08:59+00,7,Chrome,0,0,0
